DEPARTMENT,VENDOR,DESCRIPTION,CONTRACT_NUMBER,Year,AMOUNT,REASON,ACAN,FID
IT,Microsoft Corporation,Microsoft Unified Support,19-0328,2019,88214.4,E1,,60
Saskatoon Water,Sask Energy,Sask Energy Services,23-0272,2023,619049.1,E3,,61
Transit,Payment In Motion Inc.,Reloadable Smart Cards,19-0329,2019,95193.6,E1,,62
Corporate Revenue,N. Harris Computer Corporation,Extended Infrastructure Support and Metersense,23-0277,2023,52495.05,E,,63
C & D/MES,Culebra Sewer & Water Works Corp.,Thawing Frozen Water Connections,19-0331,2019,37781.07,E,,64
Fleet,Donison & Associates Ltd.,Sewer Camera Truck Body,23-0287,2023,467023.5,D,,65
C & D/MES,Nickel Plumbing & Heating Ltd.,Thawing Frozen Water Connections,19-0331,2019,66810.05,E,,66
Transit,Trapeze Software ULC,Sierra Wireless Airlink Renewals,23-0292,2023,49938,D,,67
Fleet,Superior Truck Equipment Inc.,Damage Repair - Unit 1267,19-0338,2019,42180,C,,68
Communications & Public Engagement,Rawlco Radio Ltd.,Radio Commercials,23-0297,2023,34200,E,,69
Fleet,Assetworks LLP,Software Licenses for Fleet Manangement Program,19-0339,2019,41556.93,E,,70
Fire,Cummins Canada Inc.,Saskatoon Fire E5 Engine Rebuild,23-0300,2023,81334.36,E,,71
Fire,Rescue Tools Canada,Vario E Force Combi Tool,19-0348,2019,59714.23,E1,,72
Solicitors Office,Marsh Canada Ltd.,"Property, Boiler and Machinery Insurance",23-0301,2023,1354542,"B, E1, K",,73
IT,Long View Systems Corporation,Website Migration,19-0369,2019,69535.95,A,,74
Human Resources,7 Key Consulting Corp.,SAP HR SuccessFactors - HR Fusion Work,23-0318,2023,72825,E1,,75
IT,Motorola Solutions Canada Inc.,Motorola Radio Support & Upgrade,19-0375,2019,1938303,E,,76
Transit,Trapeze Software ULC,Trapeze Novus ITS System,23-0319,2023,75900,E1,,77
S L & P,Schneider Electric Canada Inc.,ION Meters,19-0379,2019,25601.04,E,,78
IT,Motorola Solutions,Motorola Maintenance Support and Lifecycle Management,23-0336,2023,2853883,E1,,79
Facilities - Project Services,ACME Welding Shop Ltd.,TCU Place Boiler #1 Tube Replacement,19-0400,2019,79531.5,C,,80
Roadways & Support Services,Western Asphalt Products,Supply & Delivery of MC-30 Oil,23-0338,2023,35000,A,,81
IT,Motorola Solutions Canada Inc.,Motorola Parts - Standing Offer,19-0401,2019,50000,E1,,82
IT,Cireson,Cireson Renewal,23-0339,2023,36979.97,D,,83
IT,Motorola Solutions Canada Inc.,Annual Maintenance & Support for NICE Voice Recording System,19-0402,2019,54835,E1,,84
Fire,Cummins Canada Inc.,Saskatoon Fire Dept E13 Engine Rebuild,23-0343,2023,81999.6,E,,85
WWTP,John Brooks Company Ltd.,New Digester Seepex Pump Replacement,19-0404,2019,55408.7,E,,86
Corporate Revenue,N. Harris Computer Corporation,Smart Metering Web Portal Software,23-0345,2023,93913,E,,87
Water & Waste Operations,Spartan Controls Ltd.,Fisher ET Control Valve,19-0417,2019,29540.43,E,,88
IT,Testforce Systems Inc.,Testforce Systems,23-0346,2023,56607,E1,,89
Parks,Nutrien Solutions (Evergro Division),Vectobac,19-0419,2019,64380,E,,90
Transit,Remix Technologies LLC,Remix Technologies,23-0347,2023,135000,E1,,91
WTP,Delco Automation Canada,Filtralite Filter Media,19-0430,2019,65010.31,E,,92
Fleet,Assetworks,Assetworks Renewal,23-0348,2023,54860,"E1, E2",,93
C & D,LaFrentz Road Marking Div of Cdn Road Builders Inc.,Crafco Roadsaver 522,19-0431,2019,27435.87,D,,94
Fleet,Fer-Marc Equipment Ltd.,Fer-Marc Equipment Standing Offer,23-0357,2023,150000,"E1, E2",,95
City Clerk,Western Information Management Inc.,Documentum Upgrade,19-0433,2019,82717.2,D,,96
Technical Services,Donison & Associates Ltd.,CCTV Maintenance & Repair,23-0363,2023,100000,D,,97
Sustainability,Sask Environmental Society,2019 Student Action for a Sustainable Future Program,19-0434,2019,68820,D,,98
Technical Services,Lafrentz Road Marking,Asphalt Crack Sealant,23-0364,2023,30825,E1 & E2,,99
Fire,Xentrax Inc.,Upgrade Nice Recording System,23-0366,2023,44184.8,C,,100
WTP,Air Filter Sales & Service,Dust Control Service Agreement,20-0479,2020,50000,C D,,101
IT,WBM Technologies,Technology Hardward Asset Tagging,20-0486,2020,27750,D,,102
IT,Vemax Management Inc,VEMAX Software Support,20-0511,2020,30881.31,"E1,2",,103
IT,SAP Canada Inc.,SAP Business Objects Software Maintenace,20-0512,2020,29490.82,E1,,104
